iteration,reward_mean,length_mean,games,loss
1000,1287.12,29.12,8,0.047730520367622375
2000,1153.12,25.5,8,0.029639311134815216
3000,1020.75,22.0,8,0.01943761482834816
4000,1189.75,26.5,8,0.03959295153617859
5000,1235.75,27.5,8,0.02827771008014679
6000,1112.67,24.33,9,0.012927090749144554
7000,1187.38,26.62,8,0.03977850824594498
8000,1133.88,25.38,8,0.0512043759226799
9000,1128.12,24.62,8,0.028564540669322014
10000,1144.88,25.25,8,0.04043838754296303
11000,1319.62,29.75,8,0.03300934284925461
12000,1058.62,22.88,8,0.0322904996573925
13000,1163.62,26.12,8,0.03286117687821388
14000,1104.5,24.62,8,0.03774726390838623
15000,1116.75,24.62,8,0.028556276112794876
16000,1110.62,24.62,8,0.02396232634782791
17000,932.0,20.0,8,0.04445865377783775
18000,1040.75,22.5,8,0.023222582414746284
19000,1195.88,26.62,8,0.042314305901527405
20000,1087.75,23.75,8,0.04402748495340347
21000,906.5,19.38,8,0.022206522524356842
22000,1170.75,26.0,8,0.09898807853460312
23000,964.12,20.62,8,0.028038425371050835
24000,841.0,17.88,8,0.02354111149907112
25000,1024.78,22.11,9,0.030912216752767563
26000,1014.5,22.0,8,0.03262234479188919
27000,1206.5,26.88,8,0.03824291378259659
28000,1130.0,24.75,8,0.03428424149751663
29000,1177.5,26.38,8,0.029554706066846848
30000,1243.88,28.0,8,0.01879030093550682
31000,1115.62,24.88,8,0.02235613390803337
32000,1076.62,23.62,8,0.03594054654240608
33000,1126.25,25.75,8,0.015553251840174198
34000,1016.12,22.12,8,0.023175209760665894
35000,1194.0,26.62,8,0.015172315761446953
36000,1165.0,25.5,8,0.03414233773946762
37000,1112.62,24.62,8,0.023044325411319733
38000,1220.12,27.0,8,0.03783084452152252
39000,1017.12,21.88,8,0.04290621355175972
40000,1327.5,30.12,8,0.04567355662584305
41000,1043.75,22.62,8,0.023199381306767464
42000,1183.5,26.12,8,0.02381506934762001
43000,1302.75,29.5,8,0.020253513008356094
44000,1226.25,27.25,8,0.042746253311634064
45000,1127.62,24.88,8,0.011553793214261532
46000,1145.38,25.25,8,0.03122277930378914
47000,1307.25,29.5,8,0.054077085107564926
48000,1373.12,31.62,8,0.04739130288362503
49000,1244.38,28.12,8,0.016337856650352478
50000,1075.62,23.5,8,0.014624916017055511
51000,1268.38,28.62,8,0.019603628665208817
52000,1161.62,25.88,8,0.022908609360456467
